"","jp","jpf","jpfg"
"$.*","181978.13016508453","856615.1496645082","296439.5528311439"
"$..*","35222.27549523759","20006.772425888477","18726.475497452644"
"$.store","150270.31253034924","1053270.8779415458","800371.296151073"
"$.store.bicycle","54177.337663022874","746164.40253681","910109.6891260704"
"$.store.bicycle["color"]","51810.39129891823","828007.3659005034","679443.3317367946"
"$.store.*","82353.05263612082","393031.78631306597","219692.07782895849"
"$.store[*]","71389.78190119452","449661.01634713344","181570.98436942743"
"$.store.book[1]","52841.00085492486","805796.584951633","659829.8158521655"
"$.store.book.1","57776.70673335304","767411.4268490484","806652.3757707134"
"$.store.book[*].author","37626.59414272254","201651.029454688","115002.19710226447"
"$..author","53181.95398352671","99687.60640632872","47399.25736246017"
"$..[1]","53641.44845699716","222177.93437730998","86872.31627668535"
"$.store..price","42177.676563675705","87504.58038291035","48322.3673749559"
"$..book[2]","42421.12170666215","222041.9641257978","84174.11866848233"
"$..book[0,1]","31870.916232520365","154079.49695437215","62155.53264997123"
"$..book[-1:]","38557.95667108903","227207.87170163507","74275.95401488748"
"$..book[:2]","37791.66199813722","171828.66343896158","71200.21654117276"
"$..book[(@.length-1)]","26070.292033672064","227955.34124337597","89954.15155514407"
"$..book[?(@.isbn)]","38670.18121933788","161327.4044396892","60189.990996174536"
"$..book[?(@.price<10)]","37299.09245719622","182798.49419483505","67094.75610077468"
"$..book[?(@.price==8.95)]","36452.82934601112","183102.79537908355","81640.44578326494"
"$..book[?(@.price<30","33609.780958653646","151195.41527600584","61757.406751625065"
